"","x"
"1",0
"2",0.208333333333333
"3",0.416666666666667
"4",0.625
"5",0.833333333333333
"6",1.04166666666667
"7",1.25
"8",1.45833333333333
"9",1.66666666666667
"10",1.875
"11",2.08333333333333
"12",2.29166666666667
"13",2.5
"14",2.70833333333333
"15",2.91666666666667
"16",3.125
"17",3.33333333333333
"18",3.54166666666667
"19",3.75
"20",3.95833333333333
"21",4.16666666666667
"22",4.375
"23",4.58333333333333
"24",4.79166666666667
"25",5
"26",5.20833333333333
"27",5.41666666666667
"28",5.625
"29",5.83333333333333
"30",6.04166666666667
"31",6.25
"32",6.45833333333333
"33",6.66666666666667
"34",6.875
"35",7.08333333333333
"36",7.29166666666667
"37",7.5
"38",7.70833333333333
"39",7.91666666666667
"40",8.125
"41",8.33333333333333
"42",8.54166666666667
"43",8.75
"44",8.95833333333333
"45",9.16666666666667
"46",9.375
"47",9.58333333333333
"48",9.79166666666667
"49",10
"50",10.2083333333333
"51",10.4166666666667
"52",10.625
"53",10.8333333333333
"54",11.0416666666667
"55",11.25
"56",11.4583333333333
"57",11.6666666666667
"58",11.875
"59",12.0833333333333
"60",12.2916666666667
"61",12.5
"62",12.7083333333333
"63",12.9166666666667
"64",13.125
"65",13.3333333333333
"66",13.5416666666667
"67",13.75
"68",13.9583333333333
"69",14.1666666666667
"70",14.375
"71",14.5833333333333
"72",14.7916666666667
"73",15
"74",15.2083333333333
"75",15.4166666666667
"76",15.625
"77",15.8333333333333
"78",16.0416666666667
"79",16.25
"80",16.4583333333333
"81",16.6666666666667
"82",16.875
"83",17.0833333333333
"84",17.2916666666667
"85",17.5
"86",17.7083333333333
"87",17.9166666666667
"88",18.125
"89",18.3333333333333
"90",18.5416666666667
"91",18.75
"92",18.9583333333333
"93",19.1666666666667
"94",19.375
"95",19.5833333333333
"96",19.7916666666667
"97",20
"98",20.2083333333333
"99",20.4166666666667
"100",20.625
"101",20.8333333333333
"102",21.1805555555556
"103",21.5277777777778
"104",21.875
"105",22.2222222222222
"106",22.5694444444444
"107",22.9166666666667
"108",23.2638888888889
"109",23.6111111111111
"110",23.9583333333333
"111",24.3055555555556
"112",24.6527777777778
"113",25
"114",25.3472222222222
"115",25.6944444444444
"116",26.0416666666667
"117",26.3888888888889
"118",26.7361111111111
"119",27.0833333333333
"120",27.4305555555556
"121",27.7777777777778
